Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]"
Nigeria,"NGA","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.956","","","21.424","","","9.519","9.299","11.86"
Nigeria,"NGA","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.359","","","14.427","","","5.167","4.465","7.427"
Nigeria,"NGA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.048","","","7.883","","","2.344","2.306","1.749"
Nigeria,"NGA","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.855","","","9.212","","","3.708","3.305","2.213"
Nigeria,"NGA","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.022","","","6.676","","","0.956","1.222","1.203"
Nigeria,"NGA","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.477","","","14.089","","","4.343","3.286","3.477"
Nigeria,"NGA","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.612","","","16.27","","","6.261","4.427","4.536"
Nigeria,"NGA","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.685","","","12.453","","","2.679","2.204","2.441"
Nigeria,"NGA","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.745","3.707","3.923","3.961","4.041","3.942","3.869","3.83","3.889","3.858","3.809","3.595","3.565","3.521","3.648","3.67","3.711","3.709","3.682","3.665","3.689","3.549","3.37","3.573","3.815","4.173","4.503","4.753","4.911","6.025","6.551","5.382","4.113","4.076"
Nigeria,"NGA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","","","","","","","","","","","","","","","","","","","","","","","","3.692","","3.384","5.352","5.055","8.029","9.153","","12.481","","","5.327","4.073","4.231"
Nigeria,"NGA","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.906","3.862","4.111","4.155","4.248","4.133","4.048","4.004","4.072","4.037","3.98","3.734","3.7","3.651","3.795","3.82","3.867","3.865","3.834","3.814","3.841","3.946","4.01","4.186","4.412","4.785","5.118","5.348","5.466","5.44","4.388","2.452","2.098","2.076"
Nigeria,"NGA","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","3.72","","","","","","","","","","","","","","","","","","","","","","","","","3.845","","4.026","3.833","3.623","6.135","7.587","","9.254","","","2.427","2.077","2.652"
Nigeria,"NGA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.831","3.79","4.023","4.064","4.152","4.043","3.964","3.922","3.986","3.953","3.9","3.669","3.637","3.59","3.727","3.749","3.794","3.792","3.763","3.744","3.77","3.761","3.711","3.9","4.134","4.499","4.83","5.069","5.206","5.714","5.404","3.827","3.074","3.045"
Nigeria,"NGA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94","","","","","","","","","","","","","","","","","","","","","","","","","3.77","","3.711","4.562","4.311","7.06","8.389","","10.695","","","3.827","3.074","3.454"
Nigeria,"NGA","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.942","6.791","7.068","7.09","7.192","7.056","6.979","6.942","7.069","7.089","7.066","6.795","6.811","6.812","7.089","7.229","7.388","7.45","7.381","7.41","7.432","7.767","7.975","8.325","8.758","9.425","10.062","10.506","10.799","11.961","10.376","7.453","6.329","6.28"
Nigeria,"NGA","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","22.27","","","","","","","","","","","","","","","","","","","","","","","","","9.229","","11.487","","","","","","33.52","","","7.486","6.407","6.711"
Nigeria,"NGA","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.857","7.645","7.994","8.022","8.158","7.981","7.878","7.831","7.987","8.005","7.963","7.596","7.607","7.596","7.932","8.088","8.271","8.33","8.228","8.25","8.294","7.941","7.489","7.805","8.201","8.823","9.404","9.824","10.092","9.892","7.797","4.805","3.977","3.941"
Nigeria,"NGA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","11.52","","","","","","","","","","","","","","","","","","","","","","","","","10.368","","9.003","","","","","","26.749","","","4.807","3.991","4.354"
Nigeria,"NGA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.426","7.242","7.556","7.58","7.7","7.542","7.452","7.41","7.552","7.571","7.539","7.219","7.233","7.228","7.538","7.687","7.859","7.921","7.836","7.861","7.896","7.861","7.713","8.044","8.457","9.1","9.707","10.138","10.418","10.842","8.991","6.024","5.131","5.088"
Nigeria,"NGA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","15.35","","","","","","","","","","","","","","","","","","","","","","","","","9.848","","10.074","8.128","7.664","12.357","13.803","","29.858","","","6.056","5.183","5.449"
Nigeria,"NGA","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5","","","","","","","","","19.9047535639931","","","","17.5","","","","","20.2","","","19.4","","16.1","","","27.6164645790072","27.6","18.9","","","23.8518392262455","","",""
Nigeria,"NGA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15004.189086348","","","","","","","","","","18771.468907667","","","","","","","","","","","","","","","25189.868658669","","","","","","","","",""
Nigeria,"NGA","Urban land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0667101287716012","","","","","","","","","","0.0806824837870009","","","","","","","","","","","","","","","0.109048862233708","","","","","","","","",""
Nigeria,"NGA","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","605.203977552","","","","","","","","","","731.963211671","","","","","","","","","","","","","","","989.307117024","","","","","","","","",""
Nigeria,"NGA","Urban population","SP.URB.TOTL","6412057","6801941","7211317","7636618","8079467","8547949","9042378","9559134","10104377","10683682","11298993","11950843","12642079","13380166","14172464","15025776","15938369","16916270","17958703","19058715","20222112","21434676","22688396","23906443","25167922","26552745","27965480","29421658","30939523","32523517","34173569","35865117","37617533","39456071","41372469","43370746","45445440","47603284","49857137","52217062","54696454","57303483","60034770","62889861","65872907","68978387","72189614","75462360","78877126","82425706","86117409","89957755","93918660","97971440","102100615","106266334","110505898","114843267","119182819","123515077","127896884","132362871","136953875","141685483","146531222"
Nigeria,"NGA","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","14.2320052121544","14.7902648047974","15.3545666804267","15.9183834009184","16.4846664407981","17.0662823273319","17.6649539447777","18.2799262262616","18.9104441049099","19.5557525138485","20.2150963862038","20.8877206551017","21.5728702536685","22.2697901150302","22.9777251723131","23.6959203586433","24.4236206071468","25.1600708509499","25.9045160231787","26.6562010569593","27.4143708854178","28.1782704416805","28.9471446588734","29.7202384701227","30.4967968085545","31.276064607295","32.0572867994702","32.8397083182064","33.6225740966297","34.4051290678662","35.1866181650421","35.9657628204929","36.7456434131176","37.5335756091442","38.3306573470114","39.1364103583649","39.9503563748504","40.7720171281134","41.6009143497997","42.4365697715547","43.2785051250243","44.1262421418539","44.9793025536893","45.8372080921761","46.6994804889599","47.5656414756863","48.424271994461","49.2357987173198","50.0505212312351","50.86453484762","51.6778188255446","52.490352424079","53.302114902293","54.1130855192568","54.9232435340404","55.7325682057138","56.541038793347","57.3486345560101","58.1553347527729","58.9611186427056","59.7659654848781","60.5698545383604","61.3727650622225","62.1746763155343","62.9755675573659"
Nigeria,"NGA","Urban population growth (annual %)","SP.URB.GROW","","5.90278883381216","5.84435849561593","5.73032374298938","5.63710699966575","5.63654661205343","5.6230821777836","5.55749442770817","5.54715591216651","5.5748834363693","5.59960760315952","5.60882131194021","5.62290332193466","5.67426081582877","5.7527465882459","5.84661992596124","5.8962220580207","5.95465337806294","5.97989635277055","5.94496330447401","5.92521819008156","5.82333252940691","5.68436198878445","5.22943998386508","5.14222429407303","5.35628850365304","5.18377602646835","5.07601773668181","5.03033582844752","4.99289995733623","4.94890813559195","4.83126427870972","4.77050930953388","4.77176815513546","4.74277331675479","4.71694989087159","4.67273270276811","4.63892648971122","4.62599052143947","4.62476440510275","4.63895812815827","4.65625262124468","4.65624871631628","4.64610639678525","4.63422757160918","4.60659895850872","4.55029614899566","4.43378037589133","4.42572856446101","4.40060797442349","4.38142318333946","4.36285851269691","4.30889172724088","4.22469191092493","4.128274103326","3.99897790948703","3.91203673452783","3.84994080250873","3.70903052125504","3.57046212517853","3.48611159161786","3.43228281567284","3.40970166456423","3.39655023058605","3.3628832591496"
Nigeria,"NGA","Urban population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.44469120344086","","","","","","","","","","2.61409076518981","","","","","","","","","","","","","","","2.7177531284189","","","","","","","","",""
Nigeria,"NGA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215696807.7","204758821.1","197501403.2","213655365.6","233527615.4","244063286.6","224616926.9","236423982","248344188.8","242061131.9","2626469401.9","2580128515.9","2572153728.5","2574917913.1","2580076861.4","2427291719.8","2321618367","2252259821.7","2385958890.9","2330097424.9","2316751410.8","5948128731.2","9072731293.3","8627065635.9","7873960876.9","6053177393.6"
Nigeria,"NGA","Use of insecticide-treated bed nets (% of under-5 population)","SH.MLR.NETS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","","","5.5","","28.9","16.4","","16.6","25.4","43.6","","49.1","52.2","","","","","",""
Nigeria,"NGA","Value lost due to electrical outages (% of sales for affected firms)","IC.FRM.OUTG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","3","","","","","","","","","",""
Nigeria,"NGA","Vitamin A supplementation coverage rate (% of children ages 6-59 months)","SN.ITK.VITA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","64","31","0","76","40","61","55","0","78","91","73","78","70","80","76","56","83","80","62","0","57","67","89",""
Nigeria,"NGA","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.55370151996613","","-1.08058178424835","","-0.481231272220612","","-0.634268760681152","-0.6622274518013","-0.796761572360992","-0.868943333625793","-0.623297810554504","-0.760439932346344","-0.735603809356689","-0.848863244056702","-0.777081429958344","-0.713411033153534","-0.700219869613647","-0.693110644817352","-0.587217092514038","-0.372785717248917","-0.3197340965271","-0.340378314256668","-0.425071567296982","-0.434048444032669","-0.581086993217468","-0.636560559272766","-0.598563253879547","-0.548258185386658",""
Nigeria,"NGA","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","6","","8","","11","12","13","15","18","18","18","18","18","19","19","19","16","16","16","15","15","14","13","13","13","14",""
Nigeria,"NGA","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","15.9203977584839","","32.8358192443848","","29.8507461547852","29.3532333374023","24.519229888916","23.5576915740967","29.8076915740967","25.480770111084","27.4038467407227","25.1184825897217","27.962085723877","27.2300472259521","27.2300472259521","27.6995296478271","29.5566501617432","34.9753684997559","34.9753684997559","35.4679794311523","33.009708404541","34.2995185852051","31.8840579986572","30.4347820281982","31.8840579986572","32.3529396057129",""
Nigeria,"NGA","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","8.95522403717041","","24.3781089782715","","22.3880596160889","22.8855724334717","18.75","15.865385055542","25.480770111084","21.1538467407227","21.634614944458","17.5355453491211","19.9052124023438","23.474178314209","23.9436626434326","23.9436626434326","25.6157627105713","28.5714282989502","32.019702911377","32.019702911377","29.6116504669189","28.9855079650879","26.0869560241699","25.1207733154297","27.0531406402588","27.4509811401367",""
Nigeria,"NGA","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","27.8606967926025","","45.7711448669434","","39.3034820556641","37.3134346008301","31.25","27.4038467407227","32.6923065185547","30.769229888916","29.8076915740967","29.3838863372803","29.8578205108643","30.5164318084717","30.5164318084717","30.5164318084717","34.4827575683594","40.8866996765137","41.8719215393066","41.3793106079102","37.3786392211914","37.6811599731445","34.7826080322266","34.2995185852051","34.7826080322266","36.764705657959",""
Nigeria,"NGA","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208809837698936","","0.214446097612381","","0.19293774664402","","0.156958445906639","0.148405849933624","0.144486427307129","0.136219054460526","0.108879528939724","0.110723398625851","0.108597740530968","0.110230647027493","0.108896978199482","0.107742838561535","0.107736073434353","0.103858023881912","0.117351338267326","0.119220301508904","0.116728015244007","0.119741767644882","0.123716555535793","0.117868170142174","0.120357550680637","0.12099127471447","0.120508655905724","0.118199072778225",""
Nigeria,"NGA","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6673549835404","89.3464303817553","89.1589826521354","88.9479742679291","88.6214792412388","88.3952397877302","88.2189780120562","88.1778401887335","87.9742407524624","87.7020991881961","87.5647986550532","87.2614876190228","86.7892064394927","86.2983244929249","85.8660200071497","85.4526006137557","85.0409418126571","84.6023399138484","84.2733464846695","83.7192033397537","83.275467559596","82.937127438467","82.6160314555152","82.2960820643317","82.055692447897","81.7939297813074","81.3815705307509","80.9848689617732","80.6128037912443","80.6859989755167","80.3901358714594","80.4368329564665","79.7441359475891","79.4316260456905"
Nigeria,"NGA","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.71847643976","62.3801107962304","62.4164346995324","62.392931008732","62.104018310926","61.9851220773865","61.9616065934742","62.1937963155197","62.0680501483812","61.7319913160474","61.6736131797088","61.216403427841","60.5225087148294","59.809651689947","59.2722349073724","58.8014084718143","58.3565121676903","57.8815297860593","57.6004338262044","56.9139637574956","56.4370983857129","56.1248888273566","55.8072164398933","55.513486401816","55.4233529298992","55.3761456674715","55.0887873591709","54.8604428090266","54.695822294514","56.7980220824337","56.1866747046875","55.9359520257708","55.2022892783536","55.0609277989693"
